Date,Open,High,Low,Close,Volume,Adj Close,simple 10-day moving average,weighted 10-day moving average,momentum,%K,%D,output,close of yesterday,close of two days before,close of three days before,close of four days before,close of five days before,,,,,,,
2011/5/5,533.860022,539.420008,531.500018,534.270012,3991600,267.402408,534.5310054,536.0909219,9.17002,51.68629839,43.47147753,0,535.790036,533.890021,538.560029,544.100016,537.969982,,,,,,,
2011/5/6,538.149978,541.460019,535.179989,535.299987,4108000,267.917911,535.5510049,536.2307367,10.249994,56.02851447,48.14854721,1,534.270012,535.790036,533.890021,538.560029,544.100016,,,,,,,
2011/5/9,534.999994,538.490031,531.100028,537.679989,3893500,269.109104,536.8140045,536.6178248,4.860003,60.76983836,53.22470787,1,535.299987,534.270012,535.790036,533.890021,538.560029,,,,,,,
2011/5/10,539.999994,544.430008,537.539993,542.65999,4081700,271.601597,537.7980049,537.6807312,4.900003,80.93142536,59.03166835,1,537.679989,535.299987,534.270012,535.790036,533.890021,,,,,,,
2011/5/11,540.13999,543.550029,533.690026,535.449983,4672900,267.992984,537.5670045,537.2538181,-2.519999,36.14886776,59.54316846,0,542.65999,537.679989,535.299987,534.270012,535.790036,,,,,,,
2011/5/12,535.239988,536.940007,530.910033,535.049993,2893700,267.792789,537.2750056,536.7961797,-9.050023,33.66446307,59.77148947,0,535.449983,542.65999,537.679989,535.299987,534.270012,,,,,,,
2011/5/13,534.610003,535.920032,529.050017,529.550005,4213100,265.040042,535.8200045,535.3916341,-9.010024,2.997526382,50.68807159,0,535.049993,535.449983,542.65999,537.679989,535.299987,,,,,,,
2011/5/16,526.310023,527.27,516.400021,518.420033,5910400,259.469486,533.8060049,532.2280029,-15.469988,7.206610549,44.09111308,0,529.550005,535.049993,535.449983,542.65999,537.679989,,,,,,,
2011/5/17,515.429984,531.220025,515.029993,530.459983,6600500,265.495487,533.4630011,531.6196353,-5.330053,52.48293241,44.10783729,1,518.420033,529.550005,535.049993,535.449983,542.65999,,,,,,,
2011/5/18,529.540005,530.329986,525.699977,529.809999,3902400,265.170169,532.8649974,530.9554531,-4.460013,50.2721036,43.21885803,0,530.459983,518.420033,529.550005,535.049993,535.449983,,,,,,,
2011/5/19,532.729988,536.540017,529.720001,531.250024,4932400,265.890903,532.5629986,530.6618216,-4.049963,55.17014532,43.56724273,1,529.809999,530.459983,518.420033,529.550005,535.049993,,,,,,,
